crop_type,temperature,humidity,rainfall,soil_moisture,soil_ph,nitrogen,phosphorus,potassium,sunlight_hours,pest_activity,leaf_discoloration,growth_rate,previous_disease_history,disease_risk
Potato,15.95,56.33,129.09,52.67,5.86,69.73,40.42,63.1,8.69,0,1,0.791,0,Low Risk
Cotton,42.44,91.81,84.25,28.07,7.54,27.21,0.0,50.24,3.94,0,1,0.738,1,High Risk
Wheat,25.5,53.23,141.68,54.75,6.8,103.01,67.09,62.87,8.92,0,0,0.811,0,Low Risk
Sugarcane,18.91,43.47,188.71,63.99,7.24,74.87,51.72,35.84,7.59,0,0,0.817,0,Low Risk
Wheat,36.61,70.86,171.48,45.67,7.21,43.99,26.77,31.19,6.86,1,0,0.368,1,High Risk
Tomato,36.28,85.81,111.17,41.12,6.51,27.84,27.78,1.97,6.87,0,1,0.401,1,High Risk
Rice,37.12,88.34,27.89,23.76,5.86,19.73,19.39,14.82,5.46,1,0,0.454,1,High Risk
Barley,32.72,65.75,182.05,59.88,6.42,20.68,48.34,62.38,7.64,0,0,0.459,0,Medium Risk
Sugarcane,42.05,81.4,127.75,43.33,5.34,20.53,18.94,24.91,4.1,1,1,0.324,1,High Risk
Rice,33.58,79.03,41.35,36.37,7.53,25.21,26.27,19.84,5.48,0,1,0.503,1,High Risk
Barley,31.85,76.29,47.33,46.52,6.27,45.05,15.28,42.12,3.76,1,0,0.481,0,High Risk
Rice,25.22,74.22,95.1,35.33,6.6,37.5,19.07,34.06,5.46,0,1,0.585,0,Medium Risk
Wheat,28.14,62.48,156.86,65.87,5.71,58.07,53.73,45.94,8.16,0,0,0.694,1,Low Risk
Maize,32.56,81.89,79.28,35.92,5.53,24.67,23.89,9.8,4.12,1,1,0.348,1,High Risk
Rice,18.11,46.05,199.79,68.53,5.66,40.17,53.22,55.86,8.27,0,0,0.883,0,Low Risk
Barley,35.09,82.06,69.63,28.33,6.24,37.39,23.98,23.65,5.63,1,1,0.347,0,High Risk
Sugarcane,31.74,68.58,98.83,30.81,6.43,24.17,46.15,14.8,7.59,1,1,0.645,1,High Risk
Rice,24.89,63.18,57.63,45.03,7.89,74.34,39.95,66.89,8.01,1,0,0.625,1,Medium Risk
Soybean,26.29,83.51,52.93,72.81,6.1,73.71,34.33,56.2,9.09,1,1,0.789,0,Medium Risk
Rice,37.93,78.01,76.16,39.14,6.13,25.63,31.54,45.57,6.71,0,0,0.521,1,High Risk
Tomato,31.19,85.17,196.71,46.73,6.3,69.83,9.95,9.53,5.92,1,0,0.685,1,Medium Risk
Maize,39.69,74.16,119.66,55.78,5.89,42.8,33.69,2.94,8.05,0,1,0.373,1,High Risk
Soybean,29.77,60.45,147.49,48.39,6.69,88.77,48.94,42.13,4.71,0,0,0.761,0,Medium Risk
Tomato,25.37,48.53,150.8,45.2,5.71,82.05,32.2,68.61,6.99,0,0,0.627,0,Low Risk
Tomato,24.71,50.86,202.58,53.14,7.18,61.22,39.76,50.19,5.43,0,0,0.864,0,Low Risk
Rice,36.28,76.24,116.08,40.67,7.49,45.84,33.27,29.44,3.36,1,1,0.272,1,High Risk
Soybean,33.62,63.31,158.64,42.53,6.92,30.43,50.37,57.26,7.7,0,1,0.611,0,Medium Risk
Sugarcane,29.84,64.97,89.52,50.77,6.15,39.56,40.76,46.61,8.52,0,1,0.852,0,Medium Risk
Sugarcane,30.63,61.84,79.9,50.7,5.34,79.91,31.13,39.53,8.1,1,0,0.633,1,Medium Risk
Wheat,32.42,65.78,100.24,57.37,7.08,38.73,39.47,23.18,6.61,1,1,0.562,0,Medium Risk
Barley,24.03,47.22,106.16,58.13,6.96,69.79,61.01,72.44,9.21,1,0,0.905,0,Low Risk
Soybean,34.75,69.6,91.11,41.08,7.53,8.13,39.59,16.3,6.02,1,1,0.305,1,High Risk
Sugarcane,36.52,74.55,58.92,51.65,6.91,18.38,35.75,19.34,6.09,0,1,0.256,0,High Risk
Tomato,29.53,72.62,84.71,40.81,7.48,49.64,48.69,54.66,4.94,1,0,0.585,0,Medium Risk
Sugarcane,35.88,74.32,80.85,41.04,5.13,37.64,13.36,32.64,5.62,0,1,0.546,1,High Risk
Tomato,37.32,81.8,29.88,40.6,5.85,11.54,43.74,23.9,6.91,1,1,0.314,0,High Risk
Rice,35.61,68.95,77.75,43.23,6.23,29.25,33.8,21.7,3.32,0,1,0.501,1,High Risk
Cotton,35.65,95.75,0.0,43.1,6.74,29.09,28.5,37.2,5.74,1,1,0.216,1,High Risk
Barley,26.94,54.9,105.23,48.78,5.99,53.82,51.57,58.71,6.26,0,0,0.785,0,Low Risk
Potato,20.6,51.85,198.55,56.57,7.23,79.79,70.57,62.8,7.93,0,0,0.93,0,Low Risk
Sunflower,29.48,66.68,165.39,41.11,6.47,52.55,35.22,48.83,6.13,1,0,0.643,0,Medium Risk
Barley,36.03,53.51,61.9,43.2,6.18,8.94,25.93,55.39,4.25,1,1,0.349,1,High Risk
Sugarcane,26.19,60.92,158.13,49.53,6.1,42.51,37.87,59.04,6.76,1,0,0.729,0,Medium Risk
Potato,35.28,74.48,116.59,43.21,6.58,50.42,25.19,44.43,8.2,0,1,0.434,0,High Risk
Barley,24.3,65.59,146.86,51.22,6.17,77.49,46.78,51.01,5.66,0,0,0.731,0,Low Risk
Maize,33.53,71.82,90.83,34.82,6.09,40.56,45.04,28.77,3.14,0,1,0.424,0,High Risk
Maize,23.31,79.02,149.87,53.77,6.2,46.77,34.56,25.53,8.05,1,0,0.652,1,Medium Risk
Rice,37.98,74.52,131.64,51.08,5.85,28.2,49.95,68.29,8.02,0,1,0.601,1,Medium Risk
Sugarcane,25.5,58.37,171.11,51.52,6.77,62.76,59.83,47.7,8.46,0,0,0.817,0,Low Risk
Sunflower,26.26,75.25,139.29,54.0,6.33,44.56,37.23,18.35,6.96,0,1,0.799,0,Medium Risk
Wheat,39.7,87.22,72.52,30.49,7.13,40.24,35.95,11.96,7.21,1,1,0.528,1,High Risk
Barley,21.86,52.87,231.44,55.83,5.77,78.75,48.28,40.19,11.35,0,1,0.785,0,Low Risk
Soybean,24.16,64.5,3.28,47.57,5.64,54.7,54.97,48.86,6.89,1,1,0.598,1,Medium Risk
Soybean,29.76,100.0,28.27,46.15,6.88,27.84,38.32,41.53,5.34,1,1,0.483,1,High Risk
Sunflower,30.08,71.66,189.32,53.45,5.45,55.39,36.08,36.37,7.28,1,0,0.638,0,Medium Risk
Sugarcane,38.96,71.49,79.83,39.35,6.98,20.65,25.28,52.76,4.88,1,1,0.532,1,High Risk
Potato,22.12,43.97,180.66,44.24,6.62,51.61,50.55,76.18,7.23,0,1,0.842,0,Low Risk
Barley,35.16,78.79,124.41,42.42,7.66,33.41,29.33,60.52,6.01,1,1,0.394,1,High Risk
Soybean,31.12,67.76,116.27,52.08,6.86,79.75,64.28,40.27,9.97,0,0,0.73,0,Low Risk
Barley,24.08,58.67,170.68,64.37,5.56,88.44,63.76,58.65,8.68,0,0,0.798,0,Low Risk
Tomato,31.76,82.86,45.32,53.78,7.64,37.12,27.92,30.26,9.06,1,1,0.616,1,High Risk
Barley,30.26,61.21,207.98,58.22,6.71,65.48,34.52,76.85,8.8,0,0,0.822,0,Low Risk
Maize,37.64,75.65,104.8,35.91,5.96,44.28,26.6,31.15,6.3,1,1,0.413,1,High Risk
Sugarcane,34.98,73.21,147.14,35.43,7.67,14.89,0.0,40.63,3.66,1,1,0.531,0,High Risk
Wheat,28.93,61.39,148.58,25.93,5.22,54.8,33.59,56.84,6.22,0,1,0.483,0,Medium Risk
Cotton,40.88,72.53,127.27,44.02,6.98,46.88,25.33,40.26,7.6,1,1,0.803,1,Medium Risk
Rice,29.2,79.81,95.3,41.44,5.63,48.8,38.53,31.63,5.64,0,0,0.768,0,Medium Risk
Barley,18.85,64.07,136.66,73.61,7.41,35.16,50.87,75.07,5.37,0,0,0.857,0,Low Risk
Cotton,18.54,58.66,171.46,72.05,5.74,58.88,55.57,77.14,8.29,0,0,0.732,0,Low Risk
Sunflower,38.56,81.86,78.29,44.41,6.94,18.15,36.61,37.84,4.6,0,0,0.463,1,High Risk
Tomato,29.93,50.43,81.86,52.1,7.11,65.33,35.68,58.87,6.91,1,0,0.579,1,Medium Risk
Barley,26.41,55.45,107.31,49.87,6.05,83.03,71.22,64.62,7.12,0,0,0.771,0,Low Risk
Rice,24.51,55.76,115.9,70.91,7.09,71.91,72.81,52.54,6.44,1,0,0.811,0,Low Risk
Potato,29.91,62.2,202.08,48.12,5.9,57.74,52.18,85.54,6.29,0,0,0.911,0,Low Risk
Maize,22.66,42.01,218.89,74.86,6.82,66.65,47.63,70.61,10.64,0,0,0.763,0,Low Risk
Potato,26.54,50.06,173.2,65.08,7.05,77.87,47.31,40.43,9.51,0,0,0.961,1,Low Risk
Tomato,27.94,63.97,127.15,71.71,6.0,95.4,56.45,64.06,7.42,0,0,0.759,0,Low Risk
Rice,19.17,64.22,140.25,43.38,6.19,73.82,50.74,69.01,9.65,1,0,0.71,0,Low Risk
Cotton,34.35,91.92,193.33,38.5,5.82,15.74,4.8,32.54,6.04,1,1,0.281,1,High Risk
Cotton,33.06,74.23,52.92,68.29,5.97,53.59,41.02,67.3,7.19,1,0,0.692,1,Medium Risk
Sugarcane,38.86,69.71,150.53,55.25,6.06,49.08,51.35,40.14,7.6,0,0,0.588,0,Medium Risk
Sugarcane,35.64,94.08,113.99,43.88,7.07,24.26,8.18,41.67,5.11,1,1,0.425,0,High Risk
Soybean,25.13,52.19,164.98,49.51,5.02,64.74,37.45,35.07,9.15,0,1,0.98,1,Low Risk
Sunflower,26.29,70.4,88.94,60.65,6.9,47.33,19.39,50.29,7.22,0,0,0.496,1,Medium Risk
Wheat,36.83,78.67,91.53,55.04,4.63,68.39,32.04,47.62,7.04,0,1,0.753,0,Medium Risk
Cotton,28.36,86.06,98.08,54.12,5.34,33.46,49.19,68.35,7.33,0,1,0.619,1,Medium Risk
Sunflower,28.57,82.8,43.78,36.74,7.9,22.72,34.48,44.69,6.78,1,1,0.457,1,High Risk
Potato,22.51,46.39,197.29,60.48,5.75,77.08,46.47,43.96,8.14,0,0,0.804,0,Low Risk
Soybean,28.02,80.97,74.59,34.63,7.19,46.72,53.25,65.59,6.58,1,1,0.784,1,Medium Risk
Sugarcane,24.18,78.41,106.12,50.55,5.92,45.84,39.47,36.41,6.68,0,1,0.789,0,Medium Risk
Sunflower,25.35,60.68,91.58,44.03,5.77,56.72,21.73,44.28,4.55,1,1,0.759,0,Medium Risk
Sunflower,25.04,63.0,178.31,65.07,6.04,72.61,39.82,60.24,8.5,0,0,0.988,0,Low Risk
Potato,13.9,50.65,206.62,45.64,7.01,77.94,52.76,76.56,7.94,0,0,0.972,0,Low Risk
Sugarcane,24.35,58.96,146.66,61.86,6.64,57.81,67.98,77.47,9.78,0,0,0.921,0,Low Risk
Cotton,29.03,69.78,136.94,49.64,6.02,43.31,47.27,44.63,3.18,0,0,0.615,1,Medium Risk
Rice,31.23,56.17,85.8,41.65,5.78,62.43,46.28,42.69,6.18,0,0,0.723,0,Medium Risk
Rice,27.38,72.14,118.08,53.09,6.75,67.93,37.9,59.12,7.77,0,0,0.763,0,Medium Risk
Sugarcane,38.22,70.46,38.0,44.92,5.82,13.35,24.96,21.41,3.06,1,0,0.476,1,High Risk
Soybean,30.81,64.21,67.22,55.57,5.4,36.03,40.13,33.11,7.03,0,1,0.665,1,Medium Risk
Wheat,38.42,84.66,41.01,45.21,7.07,35.4,32.59,40.16,4.91,1,1,0.377,0,High Risk
Barley,33.87,78.18,115.68,34.21,5.85,12.15,1.73,24.06,2.0,0,0,0.347,1,High Risk
Barley,30.87,73.38,97.06,51.39,5.99,52.83,21.57,46.26,5.57,1,1,0.288,1,High Risk
Tomato,23.3,61.69,153.92,72.96,6.0,81.18,47.66,59.1,8.14,0,0,0.845,0,Low Risk
Maize,38.13,88.18,26.03,60.26,5.91,28.34,17.8,28.28,7.39,1,1,0.532,1,High Risk
Cotton,36.66,71.3,68.84,57.86,6.6,45.18,47.02,61.9,7.28,0,0,0.422,0,Medium Risk
Maize,21.91,66.4,109.3,48.89,5.49,22.18,19.51,57.07,6.97,0,0,0.474,0,Medium Risk
Maize,29.07,93.16,5.28,48.12,6.21,57.39,33.08,38.03,4.09,0,1,0.601,1,High Risk
Maize,20.0,71.0,206.41,54.66,7.75,69.94,81.07,62.03,8.86,0,0,0.96,0,Low Risk
Barley,31.06,63.31,123.2,32.08,6.08,76.83,48.46,43.19,5.36,1,0,0.851,1,Medium Risk
Soybean,19.88,69.58,72.03,54.15,6.29,73.78,51.28,65.12,7.73,0,0,0.916,1,Low Risk
Wheat,31.46,52.07,126.15,69.25,5.65,82.69,51.51,39.92,7.77,0,0,0.754,0,Low Risk
Soybean,30.04,71.87,54.02,42.0,5.7,15.42,0.0,20.38,5.59,1,1,0.425,0,High Risk
Wheat,34.5,63.64,51.25,59.07,6.77,22.73,23.09,35.38,3.18,1,1,0.27,1,High Risk
Tomato,33.94,71.77,111.76,34.59,7.09,79.2,54.9,26.37,6.88,0,1,0.622,0,Medium Risk
Maize,27.54,77.55,127.04,43.43,7.23,57.61,21.36,21.6,4.98,1,0,0.815,0,Medium Risk
Barley,22.38,64.7,234.58,69.96,7.0,42.67,43.3,54.23,10.08,0,0,0.747,0,Low Risk
Sugarcane,31.0,96.8,104.5,50.27,7.03,57.84,33.5,32.93,5.99,1,1,0.443,1,High Risk
Sunflower,35.53,72.46,112.41,48.67,6.45,50.59,18.69,48.42,7.23,0,0,0.584,1,Medium Risk
Wheat,23.31,46.39,100.57,61.74,6.37,63.46,51.0,38.72,8.39,0,0,0.778,0,Low Risk
Cotton,30.65,69.7,102.92,63.48,6.31,62.07,19.88,37.07,7.44,0,0,0.647,1,Medium Risk
Sugarcane,22.54,57.96,172.41,75.04,5.36,73.95,52.22,59.07,8.53,0,0,0.797,0,Low Risk
Barley,27.65,41.68,130.45,89.3,7.8,42.78,43.91,60.88,5.88,1,0,1.0,1,Low Risk
Rice,36.57,69.95,160.83,49.59,7.09,35.43,30.37,43.14,5.38,0,0,0.536,1,Medium Risk
Cotton,25.48,95.25,55.25,48.26,5.53,46.67,41.59,31.44,6.29,0,0,0.317,0,High Risk
Potato,29.64,65.05,95.96,60.54,5.29,45.63,35.45,43.47,5.53,0,0,0.864,0,Medium Risk
Maize,27.73,73.35,183.63,51.39,7.05,42.42,33.33,49.0,5.96,0,1,0.575,0,Medium Risk
Maize,33.72,68.17,124.72,26.45,7.36,57.68,37.12,52.92,8.03,0,0,0.608,1,Medium Risk
Tomato,31.55,52.84,119.16,43.91,5.83,57.5,57.9,65.91,7.93,1,0,0.647,0,Medium Risk
Cotton,25.62,65.36,112.17,45.97,4.89,47.69,37.43,71.57,7.04,0,0,0.744,0,Medium Risk
Sunflower,33.07,92.94,5.49,37.68,5.67,61.16,16.69,15.71,6.2,1,1,0.395,0,High Risk
Sugarcane,36.9,70.19,53.85,37.73,7.95,31.84,33.64,37.06,2.0,1,1,0.38,1,High Risk
Rice,24.14,44.85,169.14,60.21,5.59,84.2,43.83,54.98,9.2,0,1,0.927,0,Low Risk
Soybean,28.28,67.97,129.63,48.74,6.79,37.45,30.75,34.72,6.15,1,0,0.779,1,Medium Risk
Wheat,16.38,57.58,126.54,58.14,5.99,99.62,31.3,99.67,7.41,0,0,0.838,0,Low Risk
Cotton,41.32,83.78,17.18,55.73,7.67,48.6,32.56,37.1,5.71,1,1,0.43,1,High Risk
Tomato,23.91,55.86,75.13,53.64,6.18,66.92,37.8,77.46,9.57,0,1,0.664,1,Medium Risk
Potato,26.14,66.94,84.28,37.47,6.82,29.3,40.81,37.98,6.82,1,1,0.522,1,High Risk
Maize,31.02,72.18,69.06,64.6,6.03,73.4,36.49,40.27,5.33,1,1,0.67,0,Medium Risk
Rice,21.43,71.65,115.75,60.36,6.96,45.53,55.76,45.23,9.23,0,0,0.724,0,Low Risk
Wheat,24.18,58.34,112.2,37.77,6.33,25.47,52.34,68.51,9.57,0,0,0.665,0,Medium Risk
Sunflower,23.78,69.11,194.63,56.01,5.35,69.05,36.14,60.33,6.39,0,0,0.946,0,Low Risk
Rice,34.74,88.38,112.23,31.93,8.13,13.74,24.24,38.56,5.9,0,0,0.323,1,High Risk
Sunflower,23.34,66.67,179.05,60.16,7.72,50.83,29.7,53.21,6.71,0,1,0.594,0,Medium Risk
Soybean,30.18,60.05,95.15,43.21,6.99,42.54,44.36,37.62,6.99,1,1,0.796,0,Medium Risk
Cotton,24.02,50.05,159.01,73.72,7.11,59.56,61.1,47.2,6.29,0,0,0.858,0,Low Risk
Rice,24.44,50.7,199.21,47.09,7.59,55.28,35.14,48.45,10.93,0,0,0.816,1,Low Risk
Barley,30.33,68.87,123.16,54.59,6.27,55.25,25.41,33.81,5.99,1,0,0.697,0,Medium Risk
Sunflower,23.09,44.23,129.1,62.36,6.07,62.87,51.16,52.91,6.42,0,0,0.648,0,Low Risk
Cotton,29.95,51.76,129.02,49.21,6.37,52.1,44.29,32.97,6.97,0,0,0.603,1,Medium Risk
Rice,26.92,77.78,107.94,50.63,5.85,53.03,49.34,41.63,9.37,1,0,0.74,0,Medium Risk
Cotton,33.22,82.62,135.53,54.26,6.07,23.92,32.5,39.66,5.38,1,1,0.485,1,High Risk
Sunflower,36.34,59.41,127.36,42.11,7.01,41.16,35.92,41.34,6.71,1,1,0.459,1,High Risk
Sunflower,28.82,48.83,57.09,50.81,7.3,47.18,37.11,25.14,5.77,0,0,0.674,0,Medium Risk
Wheat,25.01,46.03,127.33,68.46,7.02,59.83,48.11,52.49,12.34,0,0,0.848,0,Low Risk
Wheat,24.59,66.37,113.55,57.95,7.54,59.85,48.18,63.59,6.52,0,0,0.779,0,Low Risk
Sugarcane,27.22,42.81,147.93,61.97,6.63,72.5,45.18,63.91,8.93,0,0,0.834,0,Low Risk
Tomato,24.13,41.97,91.07,64.87,7.11,72.85,63.81,58.79,7.92,0,0,0.728,0,Low Risk
Soybean,30.89,49.01,157.44,62.96,6.12,62.76,43.91,32.52,8.33,0,1,0.646,0,Medium Risk
Maize,31.59,45.52,116.63,67.64,5.42,60.51,57.16,51.12,7.65,0,0,0.894,0,Low Risk
Barley,24.55,55.25,121.34,68.1,6.87,82.87,48.52,68.44,7.33,0,0,1.0,0,Low Risk
Cotton,21.92,56.53,157.11,60.54,6.57,58.77,59.0,68.39,6.0,1,0,0.781,0,Low Risk
Sunflower,29.08,48.75,43.19,44.86,6.53,30.94,46.45,56.92,5.74,0,0,0.561,0,Medium Risk
Maize,19.76,47.67,223.16,52.87,6.9,55.17,65.41,53.56,8.12,0,0,0.797,0,Low Risk
Maize,18.85,41.03,126.66,70.38,5.44,27.52,44.59,67.72,9.8,0,0,0.774,0,Low Risk
Maize,32.35,61.28,93.13,43.02,5.06,71.31,40.6,54.1,7.15,0,1,0.499,0,Medium Risk
Rice,21.76,62.9,172.57,50.2,7.4,114.6,39.17,57.12,7.07,1,0,0.811,0,Low Risk
Barley,30.51,68.81,117.69,39.52,6.52,24.7,12.29,40.64,6.48,1,1,0.35,1,High Risk
Wheat,29.78,70.25,93.53,54.15,6.77,36.24,28.51,47.38,9.19,1,1,0.75,1,Medium Risk
Sunflower,36.95,77.33,132.09,56.31,6.65,49.44,26.04,29.57,5.7,1,1,0.383,1,High Risk
Wheat,31.86,73.28,94.74,41.5,6.53,65.3,47.91,42.18,6.91,0,0,0.56,1,Medium Risk
Cotton,23.52,45.56,126.91,56.89,6.55,93.97,24.77,78.83,6.48,0,0,0.81,0,Low Risk
Rice,36.11,69.99,12.54,31.08,6.23,17.7,31.06,37.69,7.81,1,1,0.464,0,High Risk
Potato,26.29,48.34,94.68,35.69,7.0,32.7,55.82,44.92,7.09,1,0,0.452,0,Medium Risk
Sugarcane,33.11,88.54,27.07,28.96,6.93,11.5,15.82,16.31,5.75,1,0,0.479,0,High Risk
Barley,29.99,71.73,28.95,43.29,7.38,74.19,22.68,27.15,8.15,0,0,0.853,0,Medium Risk
Cotton,27.0,77.57,99.0,35.29,7.58,36.15,44.08,50.96,7.58,0,0,0.687,0,Medium Risk
Potato,38.66,73.56,72.28,30.29,7.18,19.45,50.25,22.82,6.33,1,1,0.481,1,High Risk
Maize,24.86,74.44,141.23,85.2,6.93,58.71,40.79,39.6,5.98,0,0,0.754,0,Low Risk
Potato,30.91,70.07,65.4,36.77,7.05,52.84,37.33,23.82,7.68,0,0,0.412,0,High Risk
Soybean,36.19,68.36,89.58,55.12,7.23,55.67,34.54,25.72,3.51,1,0,0.304,1,High Risk
Sunflower,35.69,68.15,64.22,49.72,5.91,11.68,29.54,18.97,9.13,1,1,0.439,1,High Risk
Rice,35.62,63.45,131.19,49.94,6.13,35.91,34.18,38.24,6.77,1,0,0.855,0,Medium Risk
Cotton,39.94,80.89,86.37,35.25,6.22,26.93,11.31,37.93,7.03,1,0,0.476,1,High Risk
Wheat,27.97,59.68,131.13,60.59,5.05,37.74,73.73,67.09,8.0,0,0,0.78,0,Low Risk
Tomato,37.74,68.31,140.48,48.15,6.53,35.81,36.79,33.39,8.72,1,0,0.668,1,Medium Risk
Tomato,36.16,70.01,82.68,47.74,5.83,33.88,34.06,34.53,8.21,1,1,0.35,1,High Risk
Barley,42.27,70.05,73.83,45.0,5.82,39.17,8.93,38.88,5.57,1,1,0.278,0,High Risk
Tomato,28.02,64.3,118.71,48.63,6.23,54.83,48.79,36.65,5.51,1,1,0.594,0,Medium Risk
Sunflower,25.24,89.67,84.45,46.72,6.13,0.0,15.02,51.84,4.82,1,1,0.376,1,High Risk
Cotton,33.68,76.38,98.41,48.01,7.01,46.99,14.83,51.82,5.78,0,0,0.611,0,Medium Risk
Sugarcane,21.62,48.84,108.39,66.99,7.51,65.27,47.1,80.53,8.76,0,0,0.864,0,Low Risk
Sugarcane,33.57,67.11,125.56,56.62,5.95,55.77,54.19,31.61,7.67,1,1,0.567,0,Medium Risk
Wheat,28.75,66.29,184.24,37.46,6.92,58.3,78.25,29.92,6.06,1,1,0.732,0,Medium Risk
Potato,29.71,57.16,162.67,47.11,6.18,41.57,33.38,39.75,7.29,0,1,0.482,1,Medium Risk
Sunflower,39.7,76.17,87.98,58.86,7.06,40.16,26.83,55.39,8.61,0,0,0.682,1,Medium Risk
Maize,26.69,44.73,147.96,65.63,5.38,72.12,52.62,80.47,12.07,0,0,0.665,0,Low Risk
Wheat,17.13,39.21,131.2,61.95,7.48,77.26,45.42,65.32,8.44,0,0,0.894,0,Low Risk
Sunflower,16.06,53.7,99.19,57.81,6.05,56.85,64.25,42.13,6.56,0,0,0.75,1,Low Risk
Cotton,34.56,77.74,75.7,69.2,6.7,55.97,37.05,45.09,7.07,0,0,0.496,1,Medium Risk
Cotton,37.11,83.17,83.42,56.47,7.37,54.07,22.66,0.25,6.62,1,1,0.308,0,High Risk
Rice,22.98,59.14,133.37,75.82,6.04,27.52,65.34,62.73,8.8,1,1,0.661,0,Medium Risk
Potato,33.01,58.01,36.82,58.3,6.95,58.07,27.37,53.55,5.08,1,1,0.62,0,Medium Risk
Soybean,39.73,65.97,145.08,46.11,8.04,39.5,27.86,21.54,4.84,1,1,0.296,1,High Risk
Sugarcane,33.71,80.72,144.88,39.08,6.84,30.47,21.31,29.66,6.65,1,1,0.415,1,High Risk
Sunflower,37.09,77.33,106.65,26.64,7.36,46.53,21.82,33.52,5.12,0,1,0.337,1,High Risk
Rice,21.15,80.57,151.58,56.6,6.07,74.72,37.3,51.81,5.28,1,0,0.619,0,Medium Risk
Maize,18.49,39.5,88.52,66.69,4.76,60.0,40.81,56.05,5.22,0,0,0.86,0,Low Risk
Cotton,28.78,82.18,140.43,50.18,6.19,48.22,43.01,66.0,4.94,0,1,0.716,0,Medium Risk
Cotton,19.16,58.79,80.45,63.16,7.03,77.86,61.93,72.99,10.77,0,0,0.831,0,Low Risk
Rice,34.03,81.07,121.92,46.27,6.53,45.7,9.61,21.92,4.77,1,1,0.533,1,High Risk
Potato,27.65,89.93,214.75,47.36,7.11,63.85,50.67,36.04,9.91,0,0,0.643,0,Medium Risk
Potato,25.02,66.06,61.43,55.93,6.82,37.25,66.04,65.32,9.62,0,1,0.764,0,Low Risk
Maize,38.05,70.36,40.9,22.89,6.69,48.64,15.43,0.0,5.43,0,1,0.54,1,High Risk
Cotton,22.34,43.19,189.22,57.44,7.75,71.22,47.36,55.56,7.63,0,0,0.831,0,Low Risk
Sunflower,28.48,77.33,10.68,57.81,6.42,59.72,38.2,28.66,7.32,1,0,0.732,1,Medium Risk
Rice,26.47,61.71,148.1,36.75,6.3,39.72,34.56,64.6,7.86,1,1,0.589,0,Medium Risk
Rice,38.72,66.99,135.78,40.52,5.68,72.44,43.19,41.89,6.72,0,1,0.546,0,Medium Risk
Wheat,33.76,67.74,69.83,20.54,6.29,31.19,3.93,15.9,5.41,0,1,0.4,1,High Risk
Cotton,19.08,62.35,236.71,54.42,6.73,77.13,52.44,71.17,7.39,0,0,0.883,0,Low Risk
Potato,29.12,74.75,164.29,44.88,6.22,33.14,26.62,54.3,7.98,0,1,0.465,1,Medium Risk
Cotton,25.11,63.25,140.51,38.4,6.36,47.72,30.28,74.91,11.78,0,0,0.956,0,Low Risk
Potato,26.26,61.72,112.98,56.21,6.24,48.11,42.07,28.85,9.44,0,1,0.658,1,Medium Risk
Wheat,37.83,75.25,89.5,39.7,6.47,19.83,36.97,16.77,5.92,0,1,0.335,1,High Risk
Barley,26.25,74.12,31.04,48.76,6.76,33.21,55.99,51.08,6.52,0,1,0.692,0,Medium Risk
Potato,41.47,80.16,54.47,48.57,6.87,31.5,36.09,12.53,4.63,1,1,0.62,1,High Risk
Soybean,27.33,50.99,148.4,57.3,7.59,36.25,46.6,37.69,9.02,0,1,0.704,1,Medium Risk
Rice,32.01,75.41,184.98,76.4,6.39,35.9,7.05,71.95,6.15,0,0,0.696,0,Medium Risk
Wheat,35.72,94.89,106.2,42.98,6.87,20.8,4.88,49.93,4.55,1,1,0.306,1,High Risk
Maize,31.12,72.26,80.51,33.88,6.11,7.05,21.04,42.37,8.32,1,1,0.503,1,High Risk
Cotton,32.61,83.88,136.77,44.61,7.82,45.84,49.0,36.93,5.83,1,1,0.515,0,Medium Risk
Potato,32.35,61.92,47.54,40.34,7.34,50.02,8.25,24.7,6.13,1,1,0.388,1,High Risk
Barley,31.69,45.37,191.81,62.49,5.38,54.58,35.1,47.17,7.95,1,0,0.57,1,Medium Risk
Soybean,36.78,68.11,120.47,56.01,5.83,29.41,22.32,14.13,5.45,1,1,0.458,1,High Risk
Maize,21.59,69.59,154.32,45.3,6.65,79.82,56.29,46.87,10.83,0,0,0.67,0,Low Risk
Sunflower,25.61,56.1,235.19,42.95,5.46,77.23,60.78,73.14,7.14,0,0,0.736,1,Low Risk
Barley,32.94,90.61,98.67,39.89,4.9,48.65,26.07,23.16,5.67,0,0,0.522,1,High Risk
Wheat,38.43,80.93,36.98,44.35,6.75,27.67,17.27,28.56,6.74,0,1,0.385,1,High Risk
Wheat,25.53,53.21,76.4,76.63,7.1,65.18,55.74,41.65,5.14,0,0,0.822,0,Low Risk
Barley,21.97,39.46,169.47,66.01,6.56,90.4,46.87,68.65,8.73,0,0,0.74,1,Low Risk
Rice,31.29,85.76,107.03,58.57,6.2,56.86,46.5,37.78,5.98,0,0,0.602,0,Medium Risk
Soybean,21.32,65.22,123.7,63.42,6.47,93.33,54.91,79.42,8.16,1,0,0.803,0,Low Risk
Maize,30.62,87.36,115.64,51.92,6.1,64.16,58.36,36.21,6.84,0,0,0.418,0,Medium Risk
Cotton,33.55,66.84,178.91,61.12,7.21,77.77,50.31,55.75,7.88,1,0,0.503,0,Low Risk
Barley,30.54,67.85,38.46,57.08,7.15,63.54,21.16,58.15,6.53,0,1,0.524,0,Medium Risk
